modelId,equipId,vendor,model,unitModelNumber,unitNumberKind,unitRole,status,sourceFile,sourcePage,sourceTable,capacityClass,capacityClassUnit,compatibleCapacityRange,compatibleCapacityRangeUnit,matchedAirHandler,matchedAirHandlerUnit,ratedAirflow,ratedAirflowUnit,ecodesignAirflow,ecodesignAirflowUnit,sfp15Airflow,sfp15AirflowUnit,sfp20Airflow,sfp20AirflowUnit,grossCoolingCapacity,grossCoolingCapacityUnit,ahriNetCoolingCapacity,ahriNetCoolingCapacityUnit,eer,eerUnit,ieer,ieerUnit,capacitySteps,capacityStepsUnit,fanMotorHp,fanMotorHpUnit,fanMotorRpm,fanMotorRpmUnit,coilFaceArea,coilFaceAreaUnit,coilRowsFpi,coilRowsFpiUnit,compressorConfig,compressorConfigUnit,refrigerantCircuits,refrigerantCircuitsUnit,condenserFans,condenserFansUnit,condenserAirflow,condenserAirflowUnit,unitWidth,unitWidthUnit,unitHeight,unitHeightUnit,unitLength,unitLengthUnit,seer,seerUnit,seer2,seer2Unit,heatingCapacity,heatingCapacityUnit,cop,copUnit,systemPower,systemPowerUnit,soundRating,soundRatingUnit,refrigerantCharge,refrigerantChargeUnit,refrigerantControl,refrigerantControlUnit,cabinetSize,cabinetSizeUnit,airflowConfiguration,airflowConfigurationUnit
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Longest section 035,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 035,,,,,,5400 - 12900,m³/h,5400 - 12900,m³/h,10260,m³/h,12500,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Longest section,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Longest section 040,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 040,,,,,,3960 - 14000,m³/h,3960 - 14000,m³/h,11040,m³/h,13560,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Longest section,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Longest section 050,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 050,,,,,,5040 - 17800,m³/h,5040 - 17800,m³/h,14112,m³/h,17084,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Longest section,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Longest section 060,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 060,,,,,,5400 - 18500,m³/h,5400 - 18500,m³/h,14040,m³/h,17600,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Longest section,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Longest section 070,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 070,,,,,,7200 - 24400,m³/h,7200 - 24400,m³/h,18000,m³/h,22320,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Longest section,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Longest section 080,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 080,,,,,,7560 - 24800,m³/h,7560 - 24800,m³/h,17520,m³/h,22320,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Longest section,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Top 011 Top,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 011 Top,,,,,,1620 - 3950,m³/h,1620 - 3950,m³/h,3000,m³/h,3706,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Top,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Top 012 Top,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 012 Top,,,,,,1800 - 4270,m³/h,1800 - 4270,m³/h,3007,m³/h,3816,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Top,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Top 014 Top,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 014 Top,,,,,,2700 - 5940,m³/h,2700 - 5940,m³/h,4680,m³/h,5887,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Top,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Top 020 Top,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 020 Top,,,,,,2700 - 6530,m³/h,2700 - 6530,m³/h,4909,m³/h,6180,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Top,
