modelId,equipId,vendor,model,unitModelNumber,unitNumberKind,unitRole,status,sourceFile,sourcePage,sourceTable,fieldId,fieldKo,value,unit
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-015,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 13.9,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-015,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 19.9,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-015,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ratedAirflow,정격 풍량,"4,200",CFM
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-014,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),airflowConfiguration,기류 구성,Vertical,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-014,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),cabinetSize,캐비닛,C,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-014,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),capacityClass,용량대,14 Tons,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-014,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 12.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-014,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 22.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-014,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ratedAirflow,정격 풍량,"5,200",CFM
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-016,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),airflowConfiguration,기류 구성,Vertical,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-016,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),cabinetSize,캐비닛,C,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-016,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),capacityClass,용량대,16 Tons,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-016,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 12.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-016,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 22.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-016,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ratedAirflow,정격 풍량,"6,400",CFM
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-018,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),airflowConfiguration,기류 구성,Vertical,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-018,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),cabinetSize,캐비닛,C,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-018,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),capacityClass,용량대,18 Tons,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-018,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 12.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-018,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 22.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-018,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ratedAirflow,정격 풍량,"6,800",CFM
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-020,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),airflowConfiguration,기류 구성,Vertical,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-020,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),cabinetSize,캐비닛,C,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-020,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),capacityClass,용량대,20 Tons,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-020,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 12.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-020,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 22.5,
